채널명,기존판정,실사결과,채널명(API),channel_id,구독자_실측,30일_업로드수,30일_평균조회수,최근_업로드,판정_규모,판정_활동성,최근_제목_샘플
김어준의 겸손은힘들다 뉴스공장,통과,OK,김어준의 겸손은힘들다 뉴스공장,UCAAvO0ehWox1bbym3rXKBZw,2320000,50+,405252,2026-07-26,Y,Y,"[김어준의 겸손은힘들다 뉴스공장 2026년 7월 27일 월요일[박현광,  | [#탁현민의더뷰티플] 역대급 호불호 'HOPE' 탁비 별점 공개 | 사이 | [#탁현민의더뷰티플] 한국 바둑은 자신 없어? 'AI한테 질 자신'... | 2026년 7월 24일(금) 다섯시 이재석입니다(이봉우X이용주X강윤혁), | [홍사훈쑈] 드디어 당론 결정ㅣ박주민X신장식X최강욱ㅣ2026년 7월 24 | [12시에 만나요] 재점화된 미-이란 전쟁🫨 원유 급등에 흔들리는 우리  | [정준희의 논] 명태균의 늪, 윤석열·오세훈까지 유죄ㅣ2026년 7월 2 | 김어준의 겸손은힘들다 뉴스공장 2026년 7월 24일 금요일 [이광수X남"
[팟빵] 최욱의 매불쇼,통과,OK,[팟빵] 최욱의 매불쇼,UCMYhq9OyGI5UEz_NTAoHY7A,2850000,50+,491794,2026-07-25,Y,Y,분노조절장애가 많아지는 이유! (자가 테스트) [코너별 다시보기 - 07 | 태항호 작살내는 호랑이 최욱 (넷플릭스 동궁) [0724] | 주진우 때문에 진심 화가난 우원식 | 조희대가 다 망칠 수 있다! (7대범죄 전건송치) | 풀버전 (07.24 | 김이나님~ 야한 얘기해줘서 고마워요 | 눈물겨운 최욱의 빌드업 대성공 (작사가 김이나) [코너별 다시보기 - 2 | 개인들 털리기 쉬운 상황!  [코너별 다시보기 - 260723] | 이것이 진짜 부동산 토론이다!｜풀버전 (26.07.23)
스픽스 SPEAKS,통과,OK,스픽스,UCgeOlLcX6PReHdWImEnUVTg,1550000,50+,7502,2026-07-26,Y,Y,"민경윤 ""장기적으로 좋다고 봅니다, 만 포인트 갈 겁니다"" | 작년 정청래 지지자도 돌아섰다… 광주 시민이 직접 던진 '그 한마디' | 민경윤 ""금융위 보도자료에는 환율 내용이 없어요"" | 민경윤이 의심하는 그 발표의 진짜 이유 | 민경윤 ""ELW 사건 수사한 분이 이성윤 검사입니다"" | 민경윤 ""운용사들이 위험하다고 했는데 금융위가 규정을 개정했다"" | 전계완 ""화재가 계속 나는데도 쿠팡 빼면 살 데가 없다"" | 민경윤 ""2천억 보증 섰지만 물어낼 일 없을 거예요"""
새날,통과,OK,[공식] 새날,UCu1FzjrHosuKGvgIx8oBi8w,1140000,50+,25829,2026-07-26,Y,Y,"[비하인드 짤] 최민희의 직진 / 국회에 레카가 있다! | [신상철] 충주시장 재검표 선관위는 왜 그랬을까? #이미지스캔 | 도플갱어 #이진관 #황교익 #shorts #새날 | 리더십 붕괴 국힘, 진짜는 27일에 온다 | 흥미로운 GMO 토론 #이재명 #shorts #새날 | [전현희] 겹경사 맞은 전현희 - 감사원 무법자 유병호 구속! 오세 | [일주일몰아보기] 본격 시작된 극한의 전당대회 / 유병호 오세훈 보내버린 | [일주일몰아보기] 본격 시작된 극한의 전당대회 / 유병호 오세훈 보내버린"
김용민TV,통과,OK,김용민TV,UCljnbFCt-4doBr7wtEIIbbw,897000,50+,28278,2026-07-26,Y,Y,"[김용민 브리핑] 아침7시 LIVE🔴 2026년 7월 27일 월요일 l  | 정청래를 파묘하다 | 내가 하면 추론, 남이 하면 조롱 #유시민 #추론 #논리 | 유작가님 그만하시면 좋겠습니다 #유시민 #어물전 #썩은내 | 이러면 청와대에서 힘들어해요 #정청래 #청와대 #유시민 | 이석현 몰래 엿들었다 “언론사 내부 이걸로 격론 붙었다 ‘유시민 발언 보 | 이석현 본 경선 전망 “김민석 유리하고 또 대표될 것… 그러나 정청래도  | 서용주 예비경선 분석 “여성 3명 본선진출? 그건 反최민희 정서… 당 대"
오마이TV,통과,OK,오마이TV,UClAfLVQYZSLrMAQQ_SXPVZw,2480000,50+,14861,2026-07-26,Y,Y,"[생중계] 더불어민주당 최고위원회의 (2026. 7. 27. 오전) | [브라질 국빈방문] 비행 시간은? 공중급유 가능? 어라 화장실? '폭풍  | [박정호의 핫스팟 7월 27일] 김부선부터 극우 유튜버까지 '알정찍' ㄷ | [최보라+김지호+박영식] 가슴 웅장 이재명 대통령 '샌프란 AI 선언'! | 땀 뻘뻘 연설 김민석 ""무서운 사이비가 나타나도 때릴 것!!!"" | 김민석 ""의리와 사명감 이재명 대통령 성공! 김민석 당대표 승리!!!""  | 김민석 ""동지가 칼을 들이대고 더 흔들어 ㄷㄷㄷ 예전에도 그랬는데"" #s | 김민석 ""반명 노코멘트? 지도부 자격 없다!"" #shorts #오마이tv"
미디어 민중의소리 MediaVOP,보류,OK,민중의소리 MediaVop,UCLiK08tsWKL5bNoz1f8sHsw,874000,50+,10064,2026-07-25,Y,Y,"'5.18 북한군 개입설' 퍼뜨린 전한 | 국민의힘 원내대표실에서 욕설과 멱살잡이 소동 | AI 빅테크와 핵심 자원 외교. 미국과 남미3국 순방길 오른 대통령 #이 | ""잔금대출 안돼"" 울먹이자 즉각 답 내놓은 이재명 | “김희정.이만희.송석준….” 돌아온 국힘, 6개 상임위원장 발표 순간 | 환히 인사하다 표정 바뀌며…한성숙 국무총리 3분 스피치 | “영남을 품는 전국 정당” 최고위원 본경선 진출 임미애의 포부 | 당대표 본경선 진출 송영길 ""대체불가 대한민국 만들어 가겠다"""
빨간아재,보류,OK,빨간아재,UCNRDGWEilNZOIcVIq-FRKZQ,746000,0,0,2026-06-26,Y,경계,
사장남천동,통과,OK,사장남천동,UCUFpe4kv7GRPEddLfCJOIzQ,590000,20,173526,2026-07-24,Y,Y,"[남천동生라이브!] 권영진이여, 철컹철컹 윤리위 급행열차를 타라! | [남천동生라이브!] 선거가 열린다는 소식만 들어도 기분이 좋은 난가여사  | [남천동生라이브!] 무상급식으로 한방! 명태로 또 한방! 가장 특별한 특 | [남천동生라이브!] 밤티나는 소리하면 결국 빵으로 가는 법.. | [남천동生라이브!] 그저 반대를 위한 반대.. 그 정도 역량입니까? | [남천동生라이브!] 찰스가 올공으로 간 까닭.. (ft.한정민) | [남천동生라이브!] 이재명 정부 믿고 끝까지 갈 사람 손! | [남천동生라이브!] 지지율 황금고블린의 등장입니다! 짝짝!"
장윤선의 취재편의점,통과,OK,장윤선의 취재편의점,UCAVVxLmPDFkSTROPue8ZrRA,750000,50+,7797,2026-07-26,Y,Y,"🔴[260727] ‘친명좌장‘ 정성호, 검찰개혁에 반기.. 대통령 만류해 | 🟣[주말편의점_다시보기] 최민희 ‘뉴이재명 님들’ 전상서-‘두 개의 태양 | 🟣[주말편의점_다시보기] 신천지 의혹, 위헌정당 논란까지 ‘일파만파’-수 | 🟣[주말편의점_다시보기] 민주 전대 뒤흔드는 ‘신천지 의혹’-정청래 ‘신 | 🟣[주말편의점_다시보기] [단독] 청와대 보완수사권 취재했더니-김남희 ‘ | [야간편의점] [단독] 청와대 보완수사권 취재해보니..조국당과 큰 차이  | 🔴 [청기백기] 이재명 대통령 순방 - 부동산 대토론회 - 보완수사권 비 | 형소법 개정안 7월말 ‘완전 마무리’-‘수사권 폐지’ 앓던 이 빠진 기분"
